"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AT3G60220",64.4535639477837,-2.35470838134983,0.635389619539626,-3.70592831380523,0.000210617869616423,0.00141270743225566,"ATL4"
"AT3G57260",6453.77401264198,2.55496375555293,0.801079518309549,3.1894009235743,0.00142567999792143,0.0066536013593604,"AtBG2"
"AT3G50480",31252.9889267489,2.30137528917505,0.422597564243816,5.44578455697696,5.15775349261449e-08,1.8182352601073e-06,"HR4"
"AT3G51330",1611.31919957018,2.19966275165006,0.598680552726485,3.67418440708062,0.00023861036316678,0.0015724764346565,NA
"AT3G47750",53.5424438574883,-2.22407640504539,0.552741610449319,-4.02371806826242,5.7286490506981e-05,0.000502250339360274,"ABCA4"
"AT3G23250",1029.41743285523,3.05745168508996,0.598574607861403,5.10788737934219,3.25780717698455e-07,7.84219646343576e-06,"ATMYB15"
"AT3G19710",491.764185257317,-3.68242128233947,0.890271406767067,-4.13629063491078,3.52965095703162e-05,0.000338369776759654,"BCAT4"
"AT3G23510",28.8789552458259,2.55245992882136,0.627979889213947,4.06455679976682,4.81238189019113e-05,0.000437846475224325,NA
"AT3G57460",500.416261708432,2.9978353643557,0.631552679210434,4.74677008433182,2.06690670689087e-06,3.52292009926153e-05,NA
"AT3G57450",2720.81815904095,2.22219254394023,0.478299480705444,4.64602750699774,3.38387902736157e-06,5.23390124784298e-05,NA
"AT3G24090",245.533725036911,2.3769853408545,0.482771025814324,4.9236288297233,8.49539031227718e-07,1.71613508394013e-05,"GFAT"
"AT3G12220",175.93572953874,2.8204807412577,0.607805465178641,4.64043333409108,3.47679328883262e-06,5.33777908921073e-05,"scpl16"
"AT3G55980",15363.0792016681,3.09631468844543,0.467522376796061,6.62281602361908,3.52419544020561e-11,5.84339797549612e-09,"AtC3H47"
"AT3G20820",1457.38383130911,-2.48280556977415,0.408140644861589,-6.08321077803004,1.1779931913292e-09,9.07624047713348e-08,NA
"AT3G44260",3085.6303958844,3.13377675334134,0.498794164102409,6.28270532992431,3.32731372610842e-10,3.43094051180712e-08,"AtCAF1a"
"AT3G56790",51.3081304814725,2.25933782459416,0.569838993040045,3.96487051990032,7.34357976067771e-05,0.000611011778883204,NA
"AT3G11080",233.427425513874,2.14172381339146,0.555043977816121,3.8586560686926,0.0001140122509175,0.000873897156995604,"AtRLP35"
"AT3G29370",31.021972341604,-3.27265780993615,0.943756440955934,-3.46769321820073,0.000524946204179655,0.00295744072919004,"P1R3"
"AT3G48630",138.721769116279,4.72131020161885,0.755671291276805,6.24783587271336,4.16178651800425e-10,3.99338830426648e-08,NA
"AT3G21520",137.306015010016,4.71087341186018,0.984567902407064,4.78471154741392,1.71233065016654e-06,3.01015818959726e-05,"AtDMP1"
"AT3G28580",406.522889361921,3.84585383768665,0.557450420832621,6.89900607114511,5.23676337514277e-12,1.42812049622644e-09,NA
"AT3G01220",9.88747246342356,-3.32727969701669,0.881347143494108,-3.7752203789141,0.000159866264756444,0.00113862137571892,"ATHB20"
"AT3G54400",730.219376461238,-2.34296067102373,0.439113544968983,-5.33566021332644,9.51975281300549e-08,2.88962872488597e-06,NA
"AT3G50760",688.848593761531,2.23006662548898,0.456569699775445,4.88439470815911,1.03747063666075e-06,1.9983844252259e-05,"GATL2"
"AT3G04220",300.043128449921,3.48056910809648,0.545941025868546,6.37535730633027,1.82536876092701e-10,2.10181071883184e-08,NA
"AT3G01760",14.8302023734497,2.87505947521009,0.903917930411818,3.18066428209941,0.00146937800573975,0.00682220621571732,"LHT6"
"AT3G10815",120.731706625766,2.36616211205481,0.577871030128271,4.09461971389982,4.22861879398204e-05,0.000394636696283473,"BTL03"
"AT3G52430",4119.45280107361,2.85145616020004,0.533902816958447,5.34077751536186,9.25487823452907e-08,2.83752376166937e-06,"ATPAD4"
"AT3G07340",262.918175692041,-2.10309126123956,0.413250743690971,-5.08914089895081,3.59689294275944e-07,8.5296571088824e-06,"CIB3"
